subject	locus	est_counts	tpm
sample_27	HLA-B	45764.822393	1043.7377700000002
sample_27	HLA-C	26164.028114	770.41751
sample_27	HLA-DMA	1326.005351	60.011127
sample_27	HLA-DMB	809.535574	22.776666
sample_27	HLA-DOA	328.001323	6.089966
sample_27	HLA-DOB	143.16805499999998	5.316146
sample_27	HLA-DPA1	6574.026526	399.894246
sample_27	HLA-DPB1	5138.020511	301.18483000000003
sample_27	HLA-DQA1	11905.299574	1173.328386
sample_27	HLA-DQB1	7149.021753	160.64255699999998
sample_27	HLA-DRA	29014.11707	931.160406
sample_27	HLA-DRB1	11903.381163	445.345103
sample_27	HLA-DRB5	3163.536072	95.144846
sample_27	HLA-E	6262.914779000001	132.563719
sample_27	HLA-F	4390.569138	123.705603
sample_27	HLA-G	203.810077	5.5350269999999995
sample_28	HLA-A	37663.336891	680.8106720000001
sample_28	HLA-B	78739.639664	1515.2691470000002
sample_28	HLA-C	35004.62342	826.393094
sample_28	HLA-DMA	3374.512338	132.91927099999998
sample_28	HLA-DMB	1582.554895	39.404088
sample_28	HLA-DOA	620.009704	5.60066
sample_28	HLA-DOB	1332.5144659999999	38.783356999999995
sample_28	HLA-DPA1	11458.179343	587.753194
sample_28	HLA-DPB1	9292.145441	434.123989
sample_28	HLA-DQA1	13743.822054	1410.120841
sample_28	HLA-DQB1	10980.3892	214.395678
sample_28	HLA-DRA	40984.641489	1196.977776
sample_28	HLA-DRB1	14258.746871	430.718823
sample_28	HLA-DRB5	15744.616088	406.83389
sample_28	HLA-E	12761.494743	233.907926
sample_28	HLA-F	3126.402532	74.148559
sample_28	HLA-G	76.575403	1.914421
sample_29	HLA-A	35106.430266	639.5212
sample_29	HLA-B	32747.279784000002	634.924606
sample_29	HLA-C	17216.775925	384.086008
sample_29	HLA-DMA	2926.0050770000003	116.909872
sample_29	HLA-DMB	760.758635	18.910765
sample_29	HLA-DOA	602.001045	5.430073
sample_29	HLA-DOB	359.36616399999997	9.883502
sample_29	HLA-DPA1	23956.041567	929.21095
sample_29	HLA-DPB1	19267.033431	910.1133990000001
sample_29	HLA-DQA1	16594.765919999998	1414.998219
sample_29	HLA-DQB1	7910.931337999999	154.756701
sample_29	HLA-DRA	77352.134218	2245.028767
sample_29	HLA-DRB1	30441.700511000003	903.462098
sample_29	HLA-DRB5	11547.783058	300.010512
sample_29	HLA-E	7475.165010000001	143.715198
sample_29	HLA-F	3361.100441	80.240198
sample_29	HLA-G	54.078847999999994	1.1830800000000001
sample_30	HLA-A	24999.357088999997	479.151905
sample_30	HLA-B	36585.366442	751.341738
sample_30	HLA-C	17641.277946000002	455.197071
sample_30	HLA-DMA	2271.048871	99.633564
sample_30	HLA-DMB	553.710653	14.424663
sample_30	HLA-DOA	235.005057	2.227147
sample_30	HLA-DOB	333.561225	11.089305999999999
sample_30	HLA-DPA1	16723.359872	668.944233
sample_30	HLA-DPB1	12756.274503999999	635.042832
sample_30	HLA-DQA1	10494.735542999999	1101.5467979999999
sample_30	HLA-DQB1	898.3310769999999	17.623231
sample_30	HLA-DRA	34656.745783	1054.622312
sample_30	HLA-DRB1	24876.278716	746.4469980000001
sample_30	HLA-DRB5	14800.145085	403.507736
sample_30	HLA-E	5438.780158	109.266946
sample_30	HLA-F	2412.4042809999996	61.262657
sample_30	HLA-G	45.202844	1.083409
sample_31	HLA-A	56600.812110000006	906.40024
sample_31	HLA-B	58504.478528	996.469995
sample_31	HLA-C	26705.198978999997	516.150619
sample_31	HLA-DMA	4326.003896	153.723276
sample_31	HLA-DMB	1259.758942	28.337259
sample_31	HLA-DOA	198.000178	1.608281
sample_31	HLA-DOB	755.5681169999999	18.899439
sample_31	HLA-DPA1	6193.005578	305.697293
sample_31	HLA-DPB1	8074.007272	320.191917
sample_31	HLA-DQA1	12646.367880999998	1022.4697
sample_31	HLA-DQB1	8466.568063	148.27016500000002
sample_31	HLA-DRA	62679.056453	1669.267196
sample_31	HLA-DRB1	34030.566603	814.7068750000001
sample_31	HLA-DRB5	6845.372006	156.251075
sample_31	HLA-E	9682.511197	155.33448099999998
sample_31	HLA-F	6979.566457	146.204818
sample_31	HLA-G	45.849585	0.879637
sample_32	HLA-A	75081.709603	1492.409359
sample_32	HLA-B	75070.358191	1596.5137789999999
sample_32	HLA-C	55650.701696	1474.937803
sample_32	HLA-DMA	4291.0123140000005	185.102137
sample_32	HLA-DMB	640.833124	17.202155
sample_32	HLA-DOA	749.002149	7.254204
sample_32	HLA-DOB	129.661861	3.78734
sample_32	HLA-DPA1	11293.032407	625.64679
sample_32	HLA-DPB1	11400.031042	630.5774580000001
sample_32	HLA-DQA1	17883.982795	1727.6205249999998
sample_32	HLA-DQB1	3748.635427	80.276596
sample_32	HLA-DRA	46529.13352	1446.67594
sample_32	HLA-DRB1	29271.398401000002	879.430405
sample_32	HLA-DRB5	4567.5560160000005	129.830633
sample_32	HLA-E	8805.308352	173.14974
sample_32	HLA-F	7463.296141000001	193.09217
sample_32	HLA-G	158.687843	4.206594
sample_33	HLA-A	36067.545166	734.7853349999999
sample_33	HLA-B	55782.795602	1230.595442
sample_33	HLA-C	29869.021399	726.787785
sample_33	HLA-DMA	2220.002294	91.782495
sample_33	HLA-DMB	1034.38396	27.223052
sample_33	HLA-DOA	410.000424	3.904044
sample_33	HLA-DOB	573.99605	18.629358
sample_33	HLA-DPA1	8718.009012	476.144439
sample_33	HLA-DPB1	10784.011149	579.195694
sample_33	HLA-DQA1	14565.846199	694.4180650000001
sample_33	HLA-DQB1	11294.718684	238.41569700000002
sample_33	HLA-DRA	48667.050313	1469.585695
sample_33	HLA-DRB1	22350.301367	667.060708
sample_33	HLA-DRB5	6290.969411	177.869972
sample_33	HLA-E	12975.598752	278.545762
sample_33	HLA-F	2940.796115	78.143778
sample_33	HLA-G	138.465309	3.522214
sample_34	HLA-A	31045.779911	626.673675
sample_34	HLA-B	41403.699911	887.05947
sample_34	HLA-C	19921.992584	427.457295
sample_34	HLA-DMA	2355.00102	107.046847
sample_34	HLA-DMB	704.039906	19.510963
